,text,date
44,Please RT! Have you seen Bruttis? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/QYBzJA8PMh https://t.co/Ao1P4WMxtu,2017-09-12 03:10:22+00:00
45,Please RT! Have you seen Mamas? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/6yVtXl3gxc https://t.co/O6CO6v3FsS,2017-09-03 21:04:25+00:00
46,Please RT! Have you seen pepper? #missing #lost #pet in #Schenectady #NY 12309 https://t.co/rElYeoMNcL https://t.co/wglnvgcxlG,2017-08-31 01:19:58+00:00
47,Please RT! Have you seen Oliver? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/83uzpxJiOP https://t.co/ZL9IGUduJS,2017-08-30 19:43:19+00:00
48,Please RT! Have you seen Jessie Decann? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/8lGEUsEkTT https://t.co/0fGBqJUOpP,2017-08-30 12:06:25+00:00
49,RT @PawBoost: Please RT! Have you seen Boomer? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/QruxrhgG3U https://t.co/H9ujW1ZdKY,2017-08-30 05:24:31+00:00
50,RT @PawBoost: Please RT! Have you seen Boomer? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/QruxrhgG3U https://t.co/H9ujW1ZdKY,2017-08-30 04:04:45+00:00
51,RT @PawBoost: Please RT! Have you seen Boomer? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/QruxrhgG3U https://t.co/H9ujW1ZdKY,2017-08-30 03:16:23+00:00
52,RT @PawBoost: Please RT! Have you seen Boomer? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/QruxrhgG3U https://t.co/H9ujW1ZdKY,2017-08-30 02:43:59+00:00
53,RT @PawBoost: Please RT! Have you seen Boomer? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/QruxrhgG3U https://t.co/H9ujW1ZdKY,2017-08-30 02:43:31+00:00
54,Please RT! Have you seen Boomer? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/QruxrhgG3U https://t.co/H9ujW1ZdKY,2017-08-29 20:00:23+00:00
55,Please RT! Have you seen Oscar? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/eLAjx9OvdT https://t.co/HwhP9mbJA0,2017-08-12 10:30:57+00:00
56,Please RT! Have you seen Alice? #missing #lost #pet in #Schenectady #NY 12309 https://t.co/tG1nWHPR5C https://t.co/DQTcS8xZbD,2017-07-31 12:47:44+00:00
57,RT @PawBoost: Please RT! Have you seen Romeo? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/5QXE7fUuyX https://t.co/cpk0H9ehhW,2017-07-27 17:36:36+00:00
58,Please RT! Have you seen Romeo? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/5QXE7fUuyX https://t.co/cpk0H9ehhW,2017-07-27 16:18:04+00:00
59,Please RT! Have you seen Felix? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/ChG6qFCDeW https://t.co/X85qKJIYEr,2017-07-21 15:42:08+00:00
60,Please RT! Have you seen Tbone? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/UYhVcmuPMe https://t.co/bbYBmzOV9D,2017-07-17 13:14:16+00:00
61,Please RT! Have you seen Delta Ray? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/97A4e410sy https://t.co/79LYaG2PR3,2017-07-05 17:05:13+00:00
62,Please RT! Have you seen Codi? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/94rAcynEaY https://t.co/3XvfEIvBxI,2017-07-02 22:04:20+00:00
63,RT @PawBoost: Please RT! Have you seen Jerry? #missing #lost #pet in #Schenectady #NY 12305 https://t.co/g5B00Cz3lL https://t.co/ZeqwpG4ZKD,2017-06-27 03:11:00+00:00
64,RT @PawBoost: Please RT! Have you seen Jerry? #missing #lost #pet in #Schenectady #NY 12305 https://t.co/g5B00Cz3lL https://t.co/ZeqwpG4ZKD,2017-06-27 00:56:02+00:00
65,Please RT! Have you seen Jerry? #missing #lost #pet in #Schenectady #NY 12305 https://t.co/g5B00Cz3lL https://t.co/ZeqwpG4ZKD,2017-06-27 00:53:14+00:00
